Time Interval,Data
1,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [4, 7, 6], ""Type"": [""Newly Added"", ""Newly Added"", ""Newly Added""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [9, 9, 4], ""Type"": [""Newly Added"", ""Existing"", ""Existing""]}}"
2,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [5, 7, 10], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [6, 3, 9], ""Type"": [""Existing"", ""Existing"", ""Existing""]}}"
3,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [6, 4, 4], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [8, 2, 5], ""Type"": [""Existing"", ""Existing"", ""Existing""]}}"
4,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [10, 5, 5], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [8, 4, 4], ""Type"": [""Existing"", ""Newly Added"", ""Existing""]}}"
5,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [6, 6, 8], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [1, 10, 6], ""Type"": [""Existing"", ""Existing"", ""Existing""]}}"
6,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [4, 10, 4], ""Type"": [""Existing"", ""Newly Added"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [4, 9, 8], ""Type"": [""Existing"", ""Existing"", ""Existing""]}}"
7,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [4, 3, 9], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [1, 3, 9], ""Type"": [""Existing"", ""Existing"", ""Existing""]}}"
8,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [6, 1, 6], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [2, 6, 1], ""Type"": [""Existing"", ""Existing"", ""Existing""]}}"
9,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [3, 4, 2], ""Type"": [""Existing"", ""Newly Added"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [4, 7, 10], ""Type"": [""Existing"", ""Existing"", ""Existing""]}}"
10,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [9, 3, 8], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [1, 4, 1], ""Type"": [""Existing"", ""Existing"", ""Existing""]}}"
11,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [2, 4, 5], ""Type"": [""Existing"", ""Newly Added"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [8, 6, 10], ""Type"": [""Existing"", ""Existing"", ""Newly Added""]}}"
12,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [2, 9, 9], ""Type"": [""Existing"", ""Existing"", ""Newly Added""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [2, 10, 7], ""Type"": [""Existing"", ""Newly Added"", ""Existing""]}}"
13,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [10, 5, 9], ""Type"": [""Newly Added"", ""Newly Added"", ""Existing""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [2, 4, 6], ""Type"": [""Existing"", ""Existing"", ""Newly Added""]}}"
14,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Nestle Celelac""], ""SKU Count"": [3, 6, 3], ""Type"": [""Existing"", ""Existing"", ""Newly Added""]}, ""rack2"": {""SKU"": [""Pringles"", ""Protinex"", ""Twix""], ""SKU Count"": [3, 9, 2], ""Type"": [""Existing"", ""Newly Added"", ""Existing""]}}"
